default_event_id,instrument_id,product_type,default_date,default_balance,recovery_amount,collection_cost,collateral_proceeds,recovery_horizon_months,realized_lgd
DEF-00197,HIST-000197,Mortgage,2023-09-27,97540.53494222116,60256.13008599121,4204.584347899857,50557.39353704462,23,0.38224523659128623
DEF-00198,HIST-000198,Mortgage,2024-07-11,21195.65800326094,9388.483195668941,425.0847282668787,6785.917873921549,23,0.5570562992559831
DEF-00199,HIST-000199,Revolving Credit Facility,2023-04-28,3906055.21424581,295427.3478628359,14337.485702405047,0.0,18,0.9243668274873893
DEF-00200,HIST-000200,Auto Loan,2025-03-23,208680.9083367137,133520.78225216077,9416.593028610363,94052.27448002587,12,0.36016771578969514
DEF-00201,HIST-000201,Auto Loan,2023-01-13,70196.00044173407,34048.840353964704,2127.6526893707132,18585.0805969562,17,0.5149461487876817
DEF-00202,HIST-000202,Credit Card,2023-09-23,56946.29707563855,28372.31603560567,1224.4258119634223,0.0,21,0.5017706595053876
DEF-00203,HIST-000203,Personal Loan,2024-12-03,39200.8910916877,22656.641441366417,562.1068730330189,0.0,19,0.4220375912278531
DEF-00204,HIST-000204,Personal Loan,2023-05-23,20898.086891550378,5649.877058200753,58.79184108377174,0.0,13,0.7296462069700198
DEF-00205,HIST-000205,Commercial Real Estate,2024-10-13,2004910.758878283,1147498.5093077084,38837.51312056332,928910.4341794678,22,0.4276560668716665
DEF-00206,HIST-000206,Credit Card,2023-07-31,195041.97774176096,36816.70642942433,2682.622998736141,0.0,14,0.8112370123821739
DEF-00207,HIST-000207,Auto Loan,2024-02-13,13996.341275566045,11162.036751468275,514.3686852197028,4038.5969520188783,12,0.20250324483339974
DEF-00208,HIST-000208,Personal Loan,2023-04-03,105063.83492929472,28374.40603541613,827.2467074807207,0.0,2,0.7299317500212001
DEF-00209,HIST-000209,Commercial Real Estate,2023-03-04,374991.6187864383,194099.85180843488,14618.534521184198,68092.64527979,20,0.4823888266180776
DEF-00210,HIST-000210,Mortgage,2025-08-16,218406.53992593527,172741.7199909086,4497.207080631665,61815.40297966567,21,0.20908174247214506
DEF-00211,HIST-000211,Commercial Real Estate,2026-03-21,351992.14771055104,289279.2661132077,18275.366075376493,180058.80743100843,22,0.17816556990047738
DEF-00212,HIST-000212,Credit Card,2023-06-15,129469.11601273331,2978.608620934033,60.17371678458128,0.0,21,0.9769936745328431
DEF-00213,HIST-000213,Auto Loan,2024-07-03,49293.091069186805,38334.79761552488,1121.6784123140812,23102.90273613558,7,0.22230891218164994
DEF-00214,HIST-000214,Personal Loan,2024-11-03,86515.9012106162,41215.10950799126,2675.7852992284656,0.0,24,0.5236123194549369
DEF-00215,HIST-000215,Personal Loan,2025-05-04,102901.53133383096,66649.39724108604,1950.7703336308052,0.0,16,0.3522992672979425
DEF-00216,HIST-000216,Auto Loan,2025-05-13,134185.77776510638,70787.78848404463,3515.726617899699,44811.26891478476,29,0.4724642979082373
DEF-00217,HIST-000217,Personal Loan,2025-07-09,74626.02078570858,36809.374032625485,2325.125301145751,0.0,23,0.506748803633454
DEF-00218,HIST-000218,Commercial Real Estate,2026-01-12,149284.74311144612,132637.2585072865,6496.659453041513,48953.48378434961,24,0.11151497639468574
DEF-00219,HIST-000219,Commercial Term Loan,2025-04-09,930986.8483494531,774379.8204270175,27788.06078160495,432643.9267057998,6,0.16821615493289108
DEF-00220,HIST-000220,Credit Card,2025-07-12,110171.783678778,77767.5849444704,1906.4946649504168,0.0,22,0.2941242998187883
DEF-00221,HIST-000221,Mortgage,2023-09-16,177793.8540808714,134815.59840476443,7244.139115125659,73853.50063027522,28,0.2417308286514665
DEF-00222,HIST-000222,Mortgage,2023-07-06,49864.07601577303,18445.402925955346,1141.263739735653,13629.5029713879,28,0.6300863387076362
DEF-00223,HIST-000223,Commercial Real Estate,2023-02-15,490892.49752205255,437294.2523192688,32546.512910790854,226090.71747459876,29,0.1091853012081855
DEF-00224,HIST-000224,Credit Card,2025-01-17,19912.835144714652,6080.919252830857,227.00621363859565,0.0,29,0.6946231308280137
DEF-00225,HIST-000225,Equipment Lease,2025-04-10,667081.1875307721,576117.7235733494,44421.26022597617,189737.12381790899,13,0.1363604095839183
DEF-00226,HIST-000226,Equipment Lease,2024-03-31,1028343.2159810333,703633.7461213927,49520.666630380074,501587.66697603586,27,0.3157598210533919
DEF-00227,HIST-000227,Equipment Lease,2024-03-04,580873.703362175,172915.99758002092,13599.78147729515,110812.66526811109,8,0.7023173943334672
DEF-00228,HIST-000228,Revolving Credit Facility,2025-02-08,1448294.0750482387,237686.97545118222,6915.581829522779,0.0,12,0.8358848665156173
DEF-00229,HIST-000229,Mortgage,2023-11-13,540008.49417443,230992.81461983404,10505.560244747498,113602.74609756382,28,0.5722422570908297
DEF-00230,HIST-000230,Personal Loan,2026-03-28,177175.25648931254,91034.18415929218,6842.301537823362,0.0,14,0.48619132285673594
DEF-00231,HIST-000231,Auto Loan,2024-05-25,58877.972243915414,37036.220707072694,1386.8322293388546,15761.787955372141,23,0.37096643624814873
DEF-00232,HIST-000232,Commercial Term Loan,2023-01-06,512321.5618157043,295193.8586267992,17278.086339292993,213835.68749012734,9,0.42381137038111166
DEF-00233,HIST-000233,Credit Card,2024-06-03,36322.788979544464,5123.204603153615,185.83266728886656,0.0,4,0.8589534353752737
DEF-00234,HIST-000234,Commercial Term Loan,2023-09-11,2452526.895566256,1644481.5838044921,50911.37206305072,771018.654794213,27,0.32947459749475927
DEF-00235,HIST-000235,Personal Loan,2025-08-17,116382.40300940294,20325.135904942174,573.6845646606944,0.0,21,0.8253590286901016
DEF-00236,HIST-000236,Revolving Credit Facility,2023-09-23,1436467.167486927,623957.2523225902,34233.58769445184,0.0,15,0.5656306900392356
DEF-00237,HIST-000237,Personal Loan,2024-08-01,62372.10378352017,42453.80124000136,2881.6273953000577,0.0,3,0.319346331697434
DEF-00238,HIST-000238,Credit Card,2023-06-23,188793.65735167943,117533.96671251187,6885.019403888905,0.0,13,0.37744748228711433
DEF-00239,HIST-000239,Equipment Lease,2025-09-27,2270257.0424205414,1329362.6257072568,78061.40982268556,1039703.4848230536,22,0.41444400309407503
DEF-00240,HIST-000240,Commercial Real Estate,2025-09-27,988322.0657226201,613864.3523186761,18049.89939204211,514363.57715890487,29,0.3788822757186506
DEF-00241,HIST-000241,Commercial Real Estate,2026-02-01,157330.36047643787,121532.24956862647,4556.030318373321,36572.01068125419,10,0.2275346652699788
DEF-00242,HIST-000242,Auto Loan,2024-12-04,42674.20378709303,25366.27787745351,997.4069817388886,6600.928303801364,22,0.4055828667827275
DEF-00243,HIST-000243,Equipment Lease,2025-08-23,3836152.211956398,1317212.5601233551,82066.73366794868,498717.5612513952,22,0.6566318312349785
DEF-00244,HIST-000244,Mortgage,2025-01-29,71682.34101457283,31679.028958465162,766.8107313855058,8377.084301214243,9,0.5580636944875321
DEF-00245,HIST-000245,Commercial Real Estate,2023-10-31,93192.81662059831,26885.82224576157,1840.4421592922604,7601.97316977428,19,0.7115032765323779
DEF-00246,HIST-000246,Commercial Term Loan,2023-11-26,1069169.8634282514,1008827.2900208982,21846.96430189136,537923.74108536,4,0.05643871518587981
DEF-00247,HIST-000247,Commercial Real Estate,2023-04-18,1786948.2489411838,918143.8242013663,11397.122847717106,686869.9493848134,28,0.486194508013653
DEF-00248,HIST-000248,Commercial Term Loan,2023-09-08,1286422.9641793903,1060637.0891528304,23138.540630899155,455949.22943623003,17,0.17551449353252868
DEF-00249,HIST-000249,Equipment Lease,2024-05-06,10956464.656950446,1636209.7315070154,37464.999227807115,989757.0616522834,21,0.8506626194911281
DEF-00250,HIST-000250,Personal Loan,2025-01-04,75879.39417677099,37093.70689956336,644.8491303992835,0.0,17,0.5111491426361587
DEF-00251,HIST-000251,Commercial Term Loan,2024-12-09,154215.4899113234,126260.16321481332,2150.911460265369,85150.57482138117,15,0.1812744408008877
DEF-00252,HIST-000252,Auto Loan,2025-05-05,55488.55937940332,44653.01002722735,1362.563506838614,17591.760189137254,12,0.19527537700317363
DEF-00253,HIST-000253,Equipment Lease,2025-09-22,1790689.5492605956,881627.191450002,66806.00855336324,481291.3405350421,24,0.5076605032882221
DEF-00254,HIST-000254,Commercial Term Loan,2023-09-28,1790459.1941318717,1256443.944855167,48335.44617149421,349094.5316747037,11,0.2982560289711763
DEF-00255,HIST-000255,Personal Loan,2023-05-10,113653.44556661851,47807.55727507536,2300.6420925890557,0.0,26,0.5793567274909168
DEF-00256,HIST-000256,Credit Card,2024-07-31,147144.09392490695,90263.60771039341,1242.3155852105467,0.0,23,0.38656316198149115
DEF-00257,HIST-000257,Auto Loan,2025-03-06,64381.04939016663,13707.436740888246,332.67322290334744,3791.044464307031,13,0.787088951318307
DEF-00258,HIST-000258,Mortgage,2024-07-16,46285.9369946776,12138.286598328934,123.72153942446276,5506.3039356376385,16,0.7377543291448392
DEF-00259,HIST-000259,Personal Loan,2024-08-10,328477.55319359497,103780.711324971,6653.168247368147,0.0,25,0.6840553933869395
DEF-00260,HIST-000260,Mortgage,2025-09-18,75443.3394944456,65560.99000664306,4336.423734673294,26901.145239559653,10,0.13099035056010633
DEF-00261,HIST-000261,Commercial Term Loan,2024-12-14,346038.4103606894,328179.5269033815,23821.28194976293,268833.4443204338,10,0.05160954079835491
DEF-00262,HIST-000262,Commercial Term Loan,2024-05-13,436303.6892815108,248770.92254990566,11140.328085749417,100936.51706870699,19,0.42982163877740137
DEF-00263,HIST-000263,Credit Card,2025-11-13,31240.141966813928,18037.53489276381,1072.5998051838133,0.0,15,0.42261674380593733
DEF-00264,HIST-000264,Equipment Lease,2026-01-23,3206697.318398885,1705729.500183469,117003.90337473324,551540.8991639687,7,0.4680728079957525
DEF-00265,HIST-000265,Commercial Term Loan,2025-03-15,400214.54617761617,285514.2582029468,21363.834133379307,223265.79073289878,23,0.28659699920993154
DEF-00266,HIST-000266,Commercial Term Loan,2026-04-05,5467938.558354188,2035203.7217953,159909.35889398982,1189596.493080442,13,0.6277932350417846
DEF-00267,HIST-000267,Credit Card,2025-10-14,104489.20550667017,56256.58423825448,927.0252126667083,0.0,14,0.461603866490656
DEF-00268,HIST-000268,Revolving Credit Facility,2024-05-31,334186.79181554774,171058.11720351558,11762.351529796559,0.0,4,0.4881362118646209
DEF-00269,HIST-000269,Credit Card,2025-11-18,485561.5512155621,65759.47039882296,3370.327758402849,0.0,10,0.864570268724532
DEF-00270,HIST-000270,Revolving Credit Facility,2024-04-15,747290.2436771215,269696.62805068743,13519.425644845416,0.0,23,0.6391005632247835
DEF-00271,HIST-000271,Commercial Term Loan,2023-12-16,2060256.832686784,1690170.5298651797,111818.60388232111,1057075.8144090753,6,0.17963114935479876
DEF-00272,HIST-000272,Commercial Term Loan,2025-09-15,104910.86558053854,40732.81090411384,450.11943416043647,23976.746175297187,11,0.6117388730069732
DEF-00273,HIST-000273,Equipment Lease,2023-07-14,999262.8768375792,686262.0228102941,21083.587114601956,439418.9215312449,9,0.31323174440128876
DEF-00274,HIST-000274,Equipment Lease,2026-03-19,795804.5811996097,424297.65463591117,5755.754317679586,207161.2665056111,28,0.466831852115858
DEF-00275,HIST-000275,Credit Card,2023-07-20,288978.07755806885,62260.18310345969,3103.7931231097,0.0,10,0.7845504972917927
DEF-00276,HIST-000276,Commercial Real Estate,2025-12-15,741984.9341808717,520004.03135887306,20515.415262790404,249165.1388284656,25,0.2991717117101019
DEF-00277,HIST-000277,Commercial Term Loan,2025-07-27,430796.05520916916,148152.40523811433,7448.202672377063,43634.17752969319,13,0.6560961887959251
DEF-00278,HIST-000278,Commercial Real Estate,2024-08-20,2903075.7417308055,1885715.91338646,132415.47074968266,1435964.613910545,18,0.35044205485930535
DEF-00279,HIST-000279,Commercial Real Estate,2025-08-13,2896348.5851320284,1315312.4648516322,14951.900377024123,530421.8447305642,11,0.5458721814067575
DEF-00280,HIST-000280,Commercial Real Estate,2025-12-29,1700969.3913796342,1114102.782455664,50870.92566607479,691938.2481141122,24,0.3450189120969251
DEF-00281,HIST-000281,Revolving Credit Facility,2024-09-13,476835.9752404293,184942.2125122685,13397.26329399905,0.0,6,0.6121471069396194
DEF-00282,HIST-000282,Commercial Term Loan,2025-10-12,475550.25982887094,87562.9787634114,5680.013840091719,57350.287754286765,14,0.8158701904717256
DEF-00283,HIST-000283,Auto Loan,2025-12-07,40970.86339686755,18293.535031945397,1323.7376339225752,5444.588909860105,2,0.5534989132461378
DEF-00284,HIST-000284,Personal Loan,2024-03-31,116815.87702990067,65964.7926287288,737.9506889507547,0.0,18,0.4353097001373865
DEF-00285,HIST-000285,Credit Card,2025-11-14,130441.90691984896,47449.08372460497,2372.3078493906455,0.0,3,0.6362435597191903
DEF-00286,HIST-000286,Revolving Credit Facility,2024-12-22,4500547.224944364,2096892.0688217126,62471.17983996904,0.0,5,0.5340806430827677
DEF-00287,HIST-000287,Mortgage,2024-03-26,192032.74878279725,154265.41175391083,8557.84940594345,64357.23284072283,14,0.1966713348023986
DEF-00288,HIST-000288,Personal Loan,2025-09-02,26308.248013729943,1325.9741836013725,81.23093809728478,0.0,24,0.9495985371998408
DEF-00289,HIST-000289,Revolving Credit Facility,2024-05-28,1006351.23727747,423639.74987394165,22602.37464170376,0.0,10,0.5790339056768743
DEF-00290,HIST-000290,Equipment Lease,2024-06-01,264574.0855768675,134829.04284681025,2260.246333670279,50152.91154044723,2,0.4903921049076519
DEF-00291,HIST-000291,Personal Loan,2024-11-22,198365.74792110518,124670.85140347785,5439.107905426788,0.0,2,0.3715101890823287
DEF-00292,HIST-000292,Revolving Credit Facility,2023-06-07,1871584.6788108891,1289453.5718516896,22712.211695666774,0.0,21,0.3110364780978312
DEF-00293,HIST-000293,Revolving Credit Facility,2023-01-09,1402894.850249988,712138.6555592443,44667.282640763166,0.0,28,0.49237916481599087
DEF-00294,HIST-000294,Personal Loan,2026-03-21,153583.1789636112,74111.88078840192,1477.8363755705138,0.0,25,0.5174479308963815
DEF-00295,HIST-000295,Commercial Real Estate,2025-08-24,751903.5137518727,585377.2812466819,29163.047679550404,385490.0115450866,9,0.22147287445732605
DEF-00296,HIST-000296,Mortgage,2024-11-22,347175.1280308798,235831.0028088119,7297.47940008089,186147.8223051124,21,0.3207145795656315
DEF-00297,HIST-000297,Commercial Term Loan,2023-08-23,1058812.209320137,665094.4780791932,37490.54707531961,191138.80999827466,2,0.3718484994555833
DEF-00298,HIST-000298,Auto Loan,2023-12-16,97024.39758378406,47253.023300089284,2737.7126025842467,39721.42981166391,17,0.5129779264098537
DEF-00299,HIST-000299,Equipment Lease,2024-08-04,542872.8486275851,289911.30251202744,18768.110730464377,118181.2129920467,10,0.46596831422875457
DEF-00300,HIST-000300,Personal Loan,2024-02-05,69756.46579354336,25485.710908132594,1539.8749892740864,0.0,16,0.6346473317102664
DEF-00301,HIST-000301,Revolving Credit Facility,2023-06-17,5116474.10282245,2255401.223003356,153838.7524057682,0.0,19,0.5591883829219058
DEF-00302,HIST-000302,Auto Loan,2023-05-13,74310.68145761288,36077.90668734958,2026.5227863688608,20721.973135227345,8,0.5144990467093405
DEF-00303,HIST-000303,Auto Loan,2026-03-06,248592.13067757632,109677.3252766284,6193.441773077525,57348.15292824954,5,0.5588061256095039
DEF-00304,HIST-000304,Commercial Real Estate,2025-07-14,437554.79882846586,202937.43931435636,4865.927074120269,164548.85534437967,16,0.5362010887374276
DEF-00305,HIST-000305,Commercial Term Loan,2024-09-17,1855218.426023341,1113399.741012759,37971.35825070556,327828.5608674191,2,0.3998551731726111
DEF-00306,HIST-000306,Credit Card,2025-05-28,65520.71457264354,42188.31895153776,2449.5320537497346,0.0,26,0.3561071605108472
DEF-00307,HIST-000307,Revolving Credit Facility,2024-05-07,1015831.5430756574,408449.3090945785,15623.350171673288,0.0,25,0.5979162963793123
DEF-00308,HIST-000308,Auto Loan,2023-06-28,52219.537655573884,30471.639680659024,1477.7241504774447,24250.924467905388,21,0.4164705194894329
DEF-00309,HIST-000309,Equipment Lease,2024-07-03,1660485.8181095992,1171766.9191653535,76797.7130108628,942808.6057039475,24,0.2943228383008015
DEF-00310,HIST-000310,Revolving Credit Facility,2024-03-01,703124.4122066748,329529.33957215,10686.21718619109,0.0,5,0.531335658595667
DEF-00311,HIST-000311,Personal Loan,2024-07-01,33273.1921457314,20170.570832140114,282.1651298437188,0.0,2,0.3937891277820248
DEF-00312,HIST-000312,Revolving Credit Facility,2024-04-27,970744.8460235613,633358.6985122235,39534.61667276918,0.0,20,0.34755389008076065
DEF-00313,HIST-000313,Revolving Credit Facility,2024-12-11,55669.35951607704,9415.96677510255,645.0597499246346,0.0,16,0.8308590783699736
DEF-00314,HIST-000314,Commercial Term Loan,2025-12-31,1040504.5520021766,670618.1051355974,51601.5157615891,503639.8192941687,29,0.35548758163030647
DEF-00315,HIST-000315,Personal Loan,2024-01-13,48078.294383537585,6776.959060219561,76.89538559361283,0.0,22,0.8590432720812149
DEF-00316,HIST-000316,Mortgage,2024-10-27,178017.76355409375,81994.73520149273,5283.989626317472,37477.227200286856,6,0.5394013857691385
DEF-00317,HIST-000317,Equipment Lease,2025-05-27,535209.4042517977,316242.40338401037,19173.50394180809,92662.89290274728,25,0.4091239786301865
DEF-00318,HIST-000318,Auto Loan,2023-09-04,59837.73731052548,51892.06615757948,1904.2890546600227,20439.892530044297,11,0.13278695869986304
DEF-00319,HIST-000319,Mortgage,2023-08-25,69227.80360344885,24416.37333864577,1255.6257701105226,10463.063105516461,14,0.6473039433908983
DEF-00320,HIST-000320,Revolving Credit Facility,2023-07-14,2492389.154647804,1307815.9391559463,95205.66474086982,0.0,9,0.4752761876221725
DEF-00321,HIST-000321,Credit Card,2024-01-12,85822.5201821123,31586.31123984335,1568.448882442538,0.0,27,0.6319577755020671
DEF-00322,HIST-000322,Equipment Lease,2023-10-07,1353946.6608754161,859060.9570479636,54398.81438962497,605731.7751294536,13,0.3655134416502612
DEF-00323,HIST-000323,Personal Loan,2023-11-14,106211.2346975904,75557.80638728445,5865.916939411492,0.0,5,0.2886081533425709
DEF-00324,HIST-000324,Personal Loan,2023-09-18,309340.68086656166,146722.9362978092,3287.394863496205,0.0,21,0.5256914289876404
DEF-00325,HIST-000325,Auto Loan,2024-05-22,186776.93047944983,157177.87235341905,12438.312278277821,101786.78353160612,12,0.15847277310988597
DEF-00326,HIST-000326,Equipment Lease,2025-04-11,490215.52497657796,222703.37613860963,7302.148703711452,70755.77279817445,29,0.5457031350664584
DEF-00327,HIST-000327,Commercial Real Estate,2026-03-29,991037.5362808132,429085.09654966305,24132.305202426007,254761.6843218712,12,0.5670344655562263
DEF-00328,HIST-000328,Credit Card,2025-06-20,170265.7157241624,58212.31346005433,1786.5444162415183,0.0,17,0.6581090138289454
DEF-00329,HIST-000329,Equipment Lease,2024-11-18,666354.9277219226,459859.27273624996,6813.460407750783,312013.36124202906,16,0.309888388897524
DEF-00330,HIST-000330,Revolving Credit Facility,2023-03-12,822936.6472733568,258490.70762705378,4879.707340520161,0.0,19,0.6858923363256293
DEF-00331,HIST-000331,Commercial Real Estate,2023-08-27,373302.3460379547,93749.09041339176,2678.5257845574265,28524.675633113486,24,0.7488655203793977
DEF-00332,HIST-000332,Commercial Term Loan,2025-12-24,1651734.1630127903,270329.15997751855,3670.091941293255,213019.6401214031,14,0.8363361574574242
DEF-00333,HIST-000333,Personal Loan,2023-03-09,40084.08503539244,28833.428071981132,385.5372091954914,0.0,21,0.2806764069449878
DEF-00334,HIST-000334,Equipment Lease,2024-08-12,2519500.118426026,600741.5175796113,30345.985282310467,477160.5233633296,18,0.761563211215523
DEF-00335,HIST-000335,Commercial Term Loan,2023-12-27,1320067.990707654,625287.0798704935,47999.39936113689,370570.32398938516,25,0.5263220650208378
DEF-00336,HIST-000336,Auto Loan,2023-10-19,27965.491221869772,19284.449401939895,1319.616831451497,13206.913177829927,13,0.3104197866955781
DEF-00337,HIST-000337,Commercial Term Loan,2025-01-14,1156289.9601928508,608688.1104317884,9259.818706964932,417828.58593685424,7,0.4735852326087231
DEF-00338,HIST-000338,Commercial Term Loan,2025-06-28,375663.82445402135,236067.97987338257,11558.71959921069,135876.87878737377,18,0.3715977836927025
DEF-00339,HIST-000339,Revolving Credit Facility,2024-02-19,296697.8734236061,148400.16601597393,10712.379860595862,0.0,14,0.4998273351150794
DEF-00340,HIST-000340,Personal Loan,2025-09-10,50284.41801254926,10496.47122064811,260.75747698485105,0.0,27,0.7912579754223554
DEF-00341,HIST-000341,Personal Loan,2023-05-19,113552.88358851521,63015.19390280159,1367.7253193055876,0.0,14,0.44505862016545944
DEF-00342,HIST-000342,Credit Card,2023-04-07,81549.06876263114,49005.688296914544,510.7109258730273,0.0,29,0.3990650164312999
DEF-00343,HIST-000343,Auto Loan,2025-02-28,60281.846984988384,37859.03626082433,1127.5463697063224,21643.094194010286,7,0.3719662194449329
DEF-00344,HIST-000344,Commercial Term Loan,2023-12-23,593360.714756914,301149.1933700729,23267.77792039063,166975.28519242804,9,0.4924686015092073
DEF-00345,HIST-000345,Equipment Lease,2024-05-15,222765.47240722252,100413.87893844872,4931.105785319778,43624.30275193307,28,0.5492394855748162
DEF-00346,HIST-000346,Equipment Lease,2025-08-08,12299374.906734105,10724622.80521974,711955.3950671526,6298145.032740539,20,0.12803513296046973
DEF-00347,HIST-000347,Personal Loan,2024-07-16,140178.76760827823,65404.18625260494,4091.073802374971,0.0,2,0.5334230185603194
DEF-00348,HIST-000348,Auto Loan,2025-06-12,67756.80218156456,38898.210848002935,2637.6641037391455,10286.87988337357,6,0.42591430534502916
DEF-00349,HIST-000349,Revolving Credit Facility,2025-04-29,1828181.426591186,684525.7707413185,28329.802231631744,0.0,9,0.6255701098453449
DEF-00350,HIST-000350,Equipment Lease,2025-11-23,1048112.7037464157,772597.0356622445,20456.05637624661,376147.0551567234,5,0.26286836052969975
DEF-00351,HIST-000351,Credit Card,2026-03-09,107102.66479166393,38824.373027882044,2636.8346475602457,0.0,3,0.637503202152783
DEF-00352,HIST-000352,Equipment Lease,2024-06-09,1166914.9955534204,886893.2580565085,41359.147836954966,289253.57481148804,4,0.23996755424683613
DEF-00353,HIST-000353,Mortgage,2025-04-21,248017.17997032515,98068.42552125703,5782.842812345442,39009.233685386855,4,0.6045901919657712
DEF-00354,HIST-000354,Credit Card,2024-03-31,190097.81741845226,137822.37189413796,1782.2789586414517,0.0,6,0.27499234990816923
DEF-00355,HIST-000355,Personal Loan,2025-06-06,45586.676452205815,23279.37925996164,1808.2729869972231,0.0,28,0.48933809016833446
DEF-00356,HIST-000356,Commercial Real Estate,2024-05-29,922607.9665724831,475261.5627085588,16817.43857076803,127344.20735062195,9,0.48487160318572786
DEF-00357,HIST-000357,Credit Card,2023-05-29,276853.88400048215,44415.46535675586,2092.7393189913305,0.0,27,0.8395707341541991
DEF-00358,HIST-000358,Revolving Credit Facility,2023-11-07,261390.73967605847,174167.75794501943,4064.4255865005757,0.0,2,0.33368810937653903
DEF-00359,HIST-000359,Personal Loan,2023-09-18,97367.75180620902,43522.65559784231,2626.9158183901104,0.0,26,0.5530074917980501
DEF-00360,HIST-000360,Revolving Credit Facility,2023-11-30,141623.6026226337,46830.52991412339,1964.4091843237402,0.0,10,0.6693310363039788
DEF-00361,HIST-000361,Commercial Term Loan,2024-01-18,443084.80877305893,367754.76820161793,5337.971902034771,138793.67155369057,7,0.17001269075334932
DEF-00362,HIST-000362,Mortgage,2024-05-08,222951.5688000847,136960.66641663213,8069.043869284176,83692.92485267598,15,0.3856931926797005
DEF-00363,HIST-000363,Commercial Real Estate,2023-09-03,1132376.0937803257,361885.96470502653,19794.033522790938,289269.4561764424,14,0.6804189291060482
DEF-00364,HIST-000364,Equipment Lease,2023-02-03,383281.3563382369,85631.19805146569,6196.752549655325,25708.288852963346,22,0.7765839724906991
DEF-00365,HIST-000365,Personal Loan,2023-06-19,92057.68854340678,41349.67954151382,2529.031202575698,0.0,23,0.5508286141464791
DEF-00366,HIST-000366,Mortgage,2023-07-08,172651.6226625536,51820.99247120849,3409.4528949606542,31608.104118304644,17,0.6998522708790739
DEF-00367,HIST-000367,Revolving Credit Facility,2026-03-02,116418.11661277617,8698.76193409336,111.31484729934598,0.0,9,0.9252799977599129
DEF-00368,HIST-000368,Commercial Real Estate,2024-07-05,800095.1857700995,302844.95202439907,17579.770825108884,246420.19914118896,12,0.6214888460640995
DEF-00369,HIST-000369,Commercial Real Estate,2025-08-14,939589.4833659725,307430.2943955921,21578.765358076424,155265.5355659539,25,0.6728036021707501
DEF-00370,HIST-000370,Auto Loan,2025-04-14,111019.27821042955,67414.8682477844,3481.50361572414,35866.33245369783,26,0.39276430783486027
DEF-00371,HIST-000371,Equipment Lease,2023-05-14,351630.9053285689,222602.61154984185,9228.84982052403,114202.94768360307,7,0.36694241553699947
DEF-00372,HIST-000372,Auto Loan,2025-03-10,25188.135065114195,21826.70296721518,371.66436302641966,7198.881869556475,19,0.13345299638934485
DEF-00373,HIST-000373,Equipment Lease,2023-12-01,1280464.5616474352,963500.8929978046,49661.88664117889,788464.0998594747,26,0.24753802498198604
DEF-00374,HIST-000374,Revolving Credit Facility,2025-06-30,1733452.6569058178,728251.6861382924,30299.535755994442,0.0,26,0.5798837174831133
DEF-00375,HIST-000375,Equipment Lease,2023-09-16,1141070.8464985532,807625.1156749994,27946.852081590983,476347.06189664855,20,0.2922217598028664
DEF-00376,HIST-000376,Mortgage,2024-05-28,434425.9630289789,322065.567089376,10982.417678101983,204259.40652434604,17,0.258641070059866
DEF-00377,HIST-000377,Credit Card,2024-10-19,33357.583947316394,18591.311064444442,927.0137775911271,0.0,6,0.44266613871655697
DEF-00378,HIST-000378,Revolving Credit Facility,2023-02-12,866577.1102572834,266023.1477621971,18387.91911297262,0.0,20,0.6930184923956555
DEF-00379,HIST-000379,Revolving Credit Facility,2024-03-10,4135388.7354238406,2493742.6389595866,156720.51969020808,0.0,17,0.39697503705077913
DEF-00380,HIST-000380,Commercial Real Estate,2025-04-28,700154.0158945776,300225.4326841606,10686.984192500333,176030.11319730966,4,0.5712008702819957
DEF-00381,HIST-000381,Mortgage,2023-05-07,161250.953972711,131886.08446845913,8497.277379118095,45377.04611627143,21,0.18210664049293857
DEF-00382,HIST-000382,Credit Card,2023-02-22,10723.407152994136,4978.983676353047,64.3222693435987,0.0,23,0.5356901397740139
DEF-00383,HIST-000383,Personal Loan,2024-06-27,50702.43625252076,32591.639927654796,1506.952052852082,0.0,7,0.35719775347019056
DEF-00384,HIST-000384,Auto Loan,2024-05-29,148521.6339281987,87927.46212630306,2948.9901238739226,74174.65653392796,4,0.4079821248882118
DEF-00385,HIST-000385,Auto Loan,2025-02-11,129862.86374205833,81833.2210310985,2582.0390409347415,39435.148277936234,9,0.36984894162167314
DEF-00386,HIST-000386,Credit Card,2026-04-12,60343.27664991917,29541.299501538204,1196.2554074208842,0.0,14,0.510445883260173
DEF-00387,HIST-000387,Mortgage,2024-10-14,359243.9161448231,201073.23289822153,4578.808722235985,107187.93566561009,5,0.4402877157781504
DEF-00388,HIST-000388,Commercial Real Estate,2025-03-20,4164682.4266261356,1916090.0430942748,56720.14745456342,678856.1882129216,15,0.5399192911219104
DEF-00389,HIST-000389,Revolving Credit Facility,2023-01-02,909677.1395949834,377657.0218483428,24937.915139080167,0.0,18,0.5848449901505852
DEF-00390,HIST-000390,Commercial Term Loan,2023-04-10,1017465.5005433104,657556.9275073379,35548.21342923007,175760.73756777082,23,0.353730492919698
DEF-00391,HIST-000391,Personal Loan,2024-12-06,170280.1920280507,93428.19983015418,4916.355147282759,0.0,28,0.45132667095675155
DEF-00392,HIST-000392,Auto Loan,2026-03-14,43420.200377144036,23551.56425049554,910.035964319486,6812.572600094538,21,0.457589692218628
